"Sample_Name","Staining_Protocol","Expt_Date","Date_Measurement","Location","Station_Number","Depth","Sample_Type","Timepoint","Replicate","c_Bacteria","c_Viruses","VBR","HNAperLNA","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31"
"vi201112.135","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VPC",12,3,943496.8017,22107889.13,23.43186441,1.404530744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.019","Viruses","03-09-20","12-11-20","NJ2020",6,1,"0.22",24,1,-511.7270789,9192153.518,-17963,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.084","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VP",24,1,1572281.45,25551172.71,16.25101709,1.869767442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.136","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VPC",24,1,1021535.181,20998720.68,20.55604258,1.371681416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.020","Viruses","03-09-20","12-11-20","NJ2020",6,1,"0.22",24,2,511.7270789,9957185.501,19458,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.085","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VP",24,2,1452025.586,25309381.66,17.43039648,2.211267606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.137","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VPC",24,2,958848.6141,18483582.09,19.27685123,1.301829268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.021","Viruses","03-09-20","12-11-20","NJ2020",6,1,"0.22",24,3,511.7270789,9529893.39,18623,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.086","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VP",24,3,1535181.237,24923027.72,16.23458333,1.782909931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vi201112.138","Viruses","03-09-20","12-11-20","NJ2020",6,1,"VPC",24,3,1067590.618,19224307.04,18.00718993,1.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
