"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","abs_VP","VP_SE","VP_R_Squared","VP_Method","Replicate"
"NJ2020",6,1,"T0_T9","c_V3","VP",-12070.15364,-108631.38276,10727.5498342939,0.387625105276219,"LM_SR","3"
"NJ2020",6,1,"T0_T12","c_V3","VP",-9018.48766999998,-108221.85204,6439.28025583902,0.395346607481065,"LM_SR","3"
"NJ2020",6,1,"T0_T24","c_V3","VP",-3923.9427425,-94174.6258200001,3152.36856715315,0.279204967118151,"LM_SR","3"
"NJ2020",2,1,"T0_T3","c_V3","VP",0,0,NA,NA,"VPCL_SR","1"
"NJ2020",2,1,"T0_T6","c_V3","VP",0,0,NA,NA,"VPCL_SR","1"
"NJ2020",2,1,"T0_T17.5","c_V3","VP",195.839391304352,2252.15300000005,NA,NA,"VPCL_SR","1"
"NJ2020",2,1,"T0_T20.5","c_V3","VP",2955.05243448276,42848.2603000001,NA,NA,"VPCL_SR","1"
"NJ2020",2,1,"T0_T24","c_V3","VP",2955.05243448276,42848.2603000001,NA,NA,"VPCL_SR","1"
"NJ2020",2,1,"T0_T3","c_V3","VP",0,0,NA,NA,"VPCL_SR","2"
"NJ2020",2,1,"T0_T6","c_V3","VP",0,0,NA,NA,"VPCL_SR","2"
"NJ2020",2,1,"T0_T17.5","c_V3","VP",305.522052173908,3513.50359999994,NA,NA,"VPCL_SR","2"
"NJ2020",2,1,"T0_T20.5","c_V3","VP",13832.9678758621,200578.0342,NA,NA,"VPCL_SR","2"
"NJ2020",2,1,"T0_T24","c_V3","VP",11261.4271388889,202705.6885,NA,NA,"VPCL_SR","2"
"NJ2020",2,1,"T0_T3","c_V3","VP",0,0,NA,NA,"VPCL_SR","3"
"NJ2020",2,1,"T0_T6","c_V3","VP",0,0,NA,NA,"VPCL_SR","3"
