"Location","Expt_No","Depth","Time_Range","Population","Sample_Type","Replicate","VP","VP_SE","VP_R_Squared","VP_Type","VP_Slope"
"NJ2020","1","1","T0_T20","c_Viruses","VPC","3",93901.9189765458,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T24","c_Viruses","VPC","3",93901.9189765458,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T3","c_V1","VPC","1",151404.568806117,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T6","c_V1","VPC","1",90017.4745796151,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T17","c_V1","VPC","1",39888.5461618959,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T20","c_V1","VPC","1",54997.086409876,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T24","c_V1","VPC","1",47473.1399668158,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T3","c_V1","VPC","2",0,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T6","c_V1","VPC","2",510025.34617486,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T17","c_V1","VPC","2",109337.286447233,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T20","c_V1","VPC","2",109337.286447233,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T24","c_V1","VPC","2",109337.286447233,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T3","c_V1","VPC","3",0,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T6","c_V1","VPC","3",24766.4959339797,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T17","c_V1","VPC","3",51711.5735445721,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T20","c_V1","VPC","3",79607.8941815,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T24","c_V1","VPC","3",79607.8941815,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T3","c_V2","VPC","1",0,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T6","c_V2","VPC","1",0,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T17","c_V2","VPC","1",10263.6985715573,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T20","c_V2","VPC","1",8876.15879561143,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T24","c_V2","VPC","1",10514.4011445467,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T3","c_V2","VPC","2",0,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T6","c_V2","VPC","2",75988.7461588633,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T17","c_V2","VPC","2",75988.7461588633,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T20","c_V2","VPC","2",75988.7461588633,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T24","c_V2","VPC","2",75988.7461588633,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T3","c_V2","VPC","3",0,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T6","c_V2","VPC","3",3650.54936676666,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T17","c_V2","VPC","3",9289.1911434,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T20","c_V2","VPC","3",9428.69568921941,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T24","c_V2","VPC","3",7688.80537061809,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T3","c_V3","VPC","1",0,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T6","c_V3","VPC","1",0,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T17","c_V3","VPC","1",14314.2806721421,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T20","c_V3","VPC","1",14314.2806721421,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T24","c_V3","VPC","1",14314.2806721421,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T3","c_V3","VPC","2",0,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T6","c_V3","VPC","2",48953.924723848,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T17","c_V3","VPC","2",48953.924723848,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T20","c_V3","VPC","2",48953.924723848,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T24","c_V3","VPC","2",48953.924723848,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T3","c_V3","VPC","3",0,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T6","c_V3","VPC","3",50985.9397738827,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T17","c_V3","VPC","3",50985.9397738827,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T20","c_V3","VPC","3",25664.3593332735,NA,NA,"VPCL_SR",NA
"NJ2020","1","1","T0_T24","c_V3","VPC","3",29361.7991684035,NA,NA,"VPCL_SR",NA
