"Sample_Name","Staining_Protocol","Expt_Date","Date_Measurement","Location","Expt_No","Depth","Sample_Type","Timepoint","Replicate","c_Bacteria","c_HNA","c_LNA","c_Viruses","c_V1","c_V2","c_V3","VBR","HNAperLNA"
"vi201104.037","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VPC",17.5,3,763752.665245203,445839.035101677,317913.630143525,31136034.1151386,26780013.47831,3746152.54651182,609868.090316758,40.7671691792295,1.40239043824701
"vi201103.056","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VP",20.5,1,3259701.49253731,2851281.57178088,408419.920756437,101012366.73774,96187842.3482567,4203974.07264928,620550.316833892,30.9882260596546,6.98125
"vi201104.052","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VPC",20.5,1,679957.356076759,398207.070409594,281750.285667165,52933688.6993603,46698290.3514932,5652176.86758679,583221.480280377,77.8485418626529,1.41333333333333
"vi201103.057","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VP",20.5,2,3223880.59701493,2853759.70503776,370120.891977169,56796588.4861407,52186944.2541462,3797071.03129701,812573.200697561,17.6174603174603,7.71034482758621
"vi201104.053","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VPC",20.5,2,550746.268656716,360103.329506315,190642.939150402,45562260.1279318,39596677.9971433,5369277.12577967,596305.005008777,82.7282229965157,1.88888888888889
"vi201103.058","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VP",20.5,3,2814498.93390192,2470022.63646152,344476.297440398,81418336.8869936,77070607.8554735,3783946.41177855,563782.619741503,28.9281818181818,7.17037037037037
"vi201104.054","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VPC",20.5,3,699147.121535181,436027.237086457,263119.884448724,37720042.6439232,32167775.6662274,4938296.15831924,613970.819376606,53.9515096065874,1.65714285714286
"vi201103.015","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"0.22",24,1,1791.0447761194,895.522388059701,895.522388059701,9907803.83795309,8238011.87344456,1581134.92755799,88657.0369505441,5531.85714285714,1
"vi201103.059","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VP",24,1,3878891.25799574,3500961.10250965,377930.155486089,135175266.52452,130205849.810947,4363203.91099497,606212.802578402,34.848944591029,9.26351351351351
"vi201104.060","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VPC",24,1,670362.473347548,414405.892614848,255956.5807327,73359914.7121535,67305818.8165103,5366015.88752061,688080.008122652,109.43320610687,1.61904761904762
"vi201103.016","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"0.22",24,2,767.590618336887,383.795309168444,383.795309168444,9745074.62686567,8055300.26462107,1580364.51145179,109409.850792816,12695.6666666667,1
"vi201103.060","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VP",24,2,3418336.8869936,3086459.51932432,331877.367669282,75244349.6801706,70447512.8705263,3982135.95467291,814700.854971321,22.0119760479042,9.3
"vi201104.047","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VPC",24,2,610234.541577825,402754.797441365,207479.744136461,67631130.0639659,61550736.739555,5449647.12893256,630746.195478306,110.828092243187,1.94117647058824
"vi201103.017","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"0.22",24,3,255.863539445629,0,255.863539445629,9171428.57142857,7500950.90911958,1562655.92228723,107821.740021762,35845,0
"vi201103.061","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VP",24,3,3474626.86567164,3135078.46513209,339548.400539551,111264818.763326,106580118.218025,4005279.01048543,679421.534815508,32.0220913107511,9.23308270676692
"vi201104.048","Viruses",2020-08-06,2020-11-03,"NJ2020",2,1,"VPC",24,3,658848.614072495,440865.243617283,217983.370455212,56081449.8933902,50083864.367379,5285623.82137147,711961.704639755,85.1203883495146,2.02247191011236
"vi201105.008","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"0.22",0,1,-48614.0724946695,0,-48614.0724946695,194497228.144989,166095185.589803,23265340.4691166,5136702.08606973,-4000.84210526316,0
"vi201105.029","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"VP",0,1,2357270.78891258,1116333.17689838,1240937.6120142,14406652.4520256,12525043.4777931,1306069.87291107,575539.10132146,6.11158146097905,0.899588477366256
"vi201105.086","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"VPC",0,1,2508486.14072495,1183469.93316744,1325016.2075575,13687931.7697228,11882079.376555,1280123.17834729,525729.214820474,5.45665034679723,0.893173929811029
"vi201105.009","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"0.22",0,2,-23027.7185501066,0,-23027.7185501066,191391044.776119,161779849.833232,24235671.1574846,5375523.785403,-8311.33333333333,0
"vi201105.030","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"VP",0,2,2572196.16204691,1189564.11068452,1382632.05136239,16966823.0277186,14859312.8236732,1463014.76478613,644495.439259174,6.59623992837959,0.860362024381234
"vi201105.087","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"VPC",0,2,2445031.98294243,1115466.00183142,1329565.98111101,12526311.3006397,10638846.3551961,1263789.53987604,623675.40556752,5.12316868982838,0.838970023059185
"vi201105.010","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"0.22",0,3,-12793.1769722814,-1163.01608838922,-11630.1608838922,191350106.609808,162212356.936104,23578975.6269388,5558774.04676537,-14957.2,0.1
"vi201105.031","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"VP",0,3,2681194.02985075,1287729.11969018,1393464.91016057,18305501.0660981,13650015.4540729,3643379.49582746,1012106.11619776,6.82736902376181,0.924120234604105
"vi201105.088","Viruses",2020-08-18,2020-11-05,"NJ2020",3,1,"VPC",0,3,2524349.68017058,1146688.39722728,1377661.28294329,13787206.8230277,11683421.8775219,1355250.97130377,748533.974202048,5.46168660044598,0.832344213649851
