"Sample_Name","Staining_Protocol","Date_Measurement","Location","Expt_Date","Expt_No","Depth","Sample_Type","Timepoint","Replicate","Acquisition_Duration","Dilution","Flowrate"
"vi201104.047","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VPC",24,2,60,100,39.0833333333333
"vi201104.048","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VPC",24,3,60,100,39.0833333333333
"vi201104.052","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VPC",20.5,1,60,50,39.0833333333333
"vi201104.053","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VPC",20.5,2,60,50,39.0833333333333
"vi201104.054","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VPC",20.5,3,60,50,39.0833333333333
"vi201104.058","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201104.059","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201104.060","Viruses",2020-11-03,"NJ2020",2020-08-06,2,1,"VPC",24,1,60,100,39.0833333333333
"vi201105.001","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201105.002","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201105.003","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201105.004","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201105.005","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201105.006","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201105.008","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"0.22",0,1,60,200,39.0833333333333
"vi201105.009","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"0.22",0,2,60,200,39.0833333333333
"vi201105.010","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"0.22",0,3,60,200,39.0833333333333
"vi201105.011","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"0.22",24,1,60,200,39.0833333333333
"vi201105.012","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"0.22",24,2,60,200,39.0833333333333
"vi201105.013","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"0.22",24,3,60,200,39.0833333333333
"vi201105.019","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201105.020","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201105.021","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201105.022","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201105.023","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201105.024","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201105.025","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201105.026","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201105.029","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"VP",0,1,60,20,39.0833333333333
"vi201105.030","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"VP",0,2,60,20,39.0833333333333
"vi201105.031","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"VP",0,3,60,20,39.0833333333333
"vi201105.032","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"VP",3,1,60,20,39.0833333333333
"vi201105.033","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"VP",3,2,60,20,39.0833333333333
"vi201105.034","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"VP",3,3,60,20,39.0833333333333
"vi201105.041","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201105.042","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201105.043","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201105.044","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201105.045","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201105.052","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"VP",6,1,60,20,39.0833333333333
"vi201105.053","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"VP",6,2,60,20,39.0833333333333
"vi201105.054","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"VP",6,3,60,20,39.0833333333333
"vi201105.055","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"VP",9,1,60,20,39.0833333333333
"vi201105.056","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"VP",9,2,60,20,39.0833333333333
"vi201105.057","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"VP",9,3,60,20,39.0833333333333
"vi201105.058","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201105.059","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201105.060","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201105.061","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201105.062","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201105.063","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"TE",NA,NA,60,NA,39.0833333333333
"vi201105.068","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"VP",24,1,60,50,39.0833333333333
"vi201105.069","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"VP",24,2,60,50,39.0833333333333
"vi201105.070","Viruses",2020-11-05,"NJ2020",2020-08-18,3,1,"VP",24,3,60,50,39.0833333333333
