"Location","Expt_No","Depth","Time_Range","Population","Sample_Type","Replicate","VP","VP_SE","VP_R_Squared","VP_Type"
"NJ2020","7","1","T0_T24","c_V1","VP","3",-6535.92950132754,30365.0284626767,0.0114500129157467,"LM_SR"
"NJ2020","1","1","T0_T12","c_V1","VP","1",-61779.5157764798,148482.728381314,0.0545570874797248,"LM_SR"
"NJ2020","1","1","T0_T12","c_V1","VP","2",36892.9949088724,184779.196080717,0.0131137684944263,"LM_SR"
"NJ2020","1","1","T0_T12","c_V1","VP","3",-30664.6712336936,181949.780909339,0.00937907041458471,"LM_SR"
"NJ2020","2","1","T0_T12","c_V1","VP","1",5682014.54188132,1786476.69518644,0.771272196631682,"LM_SR"
"NJ2020","2","1","T0_T12","c_V1","VP","2",2208737.95606066,799078.317668675,0.718052728570353,"LM_SR"
"NJ2020","2","1","T0_T12","c_V1","VP","3",4115494.34479145,1380274.5939163,0.747692027156516,"LM_SR"
"NJ2020","3","1","T0_T12","c_V1","VP","1",-194748.207293996,193041.218845967,0.253315914674171,"LM_SR"
"NJ2020","3","1","T0_T12","c_V1","VP","2",-495217.70639102,217398.841434097,0.633651806722484,"LM_SR"
"NJ2020","3","1","T0_T12","c_V1","VP","3",-188872.391449767,253442.525192598,0.156204619455652,"LM_SR"
"NJ2020","4","1","T0_T12","c_V1","VP","1",1385198.94476083,437952.998578082,0.769299960358571,"LM_SR"
"NJ2020","4","1","T0_T12","c_V1","VP","2",1230231.07059041,434239.505350207,0.727922933326534,"LM_SR"
"NJ2020","4","1","T0_T12","c_V1","VP","3",1582094.2068825,488378.426875721,0.777683219151034,"LM_SR"
"NJ2020","5","1","T0_T12","c_V1","VP","1",133994.156897857,363650.701639066,0.0432970893357075,"LM_SR"
"NJ2020","5","1","T0_T12","c_V1","VP","2",202259.984442997,223650.556206692,0.2142198740033,"LM_SR"
"NJ2020","5","1","T0_T12","c_V1","VP","3",-16324.7032880932,150436.081050303,0.0039098846596911,"LM_SR"
"NJ2020","6","1","T0_T12","c_V1","VP","1",-673273.655324277,620990.293698265,0.281518972178919,"LM_SR"
"NJ2020","6","1","T0_T12","c_V1","VP","2",-198550.906121192,82360.6065883619,0.659544329584111,"LM_SR"
"NJ2020","6","1","T0_T12","c_V1","VP","3",-325095.483902105,186163.898402213,0.504092574377651,"LM_SR"
"NJ2020","7","1","T0_T12","c_V1","VP","1",-88929.428583007,124087.652973487,0.146177406120648,"LM_SR"
"NJ2020","7","1","T0_T12","c_V1","VP","2",-48464.4203053355,74078.8839452118,0.124857517344399,"LM_SR"
"NJ2020","7","1","T0_T12","c_V1","VP","3",-28236.9134971979,68616.4435623641,0.0534328351288332,"LM_SR"
"NJ2020","1","1","T0_T3","c_V2","VP","1",-29522.9539634174,NA,1,"LM_SR"
"NJ2020","1","1","T0_T3","c_V2","VP","2",27605.9423461574,NA,1,"LM_SR"
"NJ2020","1","1","T0_T3","c_V2","VP","3",-18099.0925183701,NA,1,"LM_SR"
"NJ2020","2","1","T0_T3","c_V2","VP","1",-163341.894689903,NA,1,"LM_SR"
"NJ2020","2","1","T0_T3","c_V2","VP","2",-271580.43341994,NA,1,"LM_SR"
"NJ2020","2","1","T0_T3","c_V2","VP","3",-159133.540976773,NA,1,"LM_SR"
"NJ2020","3","1","T0_T3","c_V2","VP","1",59428.8266975455,NA,1,"LM_SR"
"NJ2020","3","1","T0_T3","c_V2","VP","2",-13219.4136054311,NA,1,"LM_SR"
"NJ2020","3","1","T0_T3","c_V2","VP","3",-1178537.8840545,NA,1,"LM_SR"
"NJ2020","4","1","T0_T3","c_V2","VP","1",-65317.6212571671,NA,1,"LM_SR"
"NJ2020","4","1","T0_T3","c_V2","VP","2",-49766.0436413689,NA,1,"LM_SR"
"NJ2020","4","1","T0_T3","c_V2","VP","3",-59002.7819272232,NA,1,"LM_SR"
"NJ2020","5","1","T0_T3","c_V2","VP","1",82010.8694376372,NA,1,"LM_SR"
"NJ2020","5","1","T0_T3","c_V2","VP","2",-92693.3160838913,NA,1,"LM_SR"
"NJ2020","5","1","T0_T3","c_V2","VP","3",-54795.1907488933,NA,1,"LM_SR"
"NJ2020","6","1","T0_T3","c_V2","VP","1",-26133.5760880313,NA,1,"LM_SR"
"NJ2020","6","1","T0_T3","c_V2","VP","2",-42938.3281264859,NA,1,"LM_SR"
"NJ2020","6","1","T0_T3","c_V2","VP","3",-93730.2699372966,NA,1,"LM_SR"
"NJ2020","7","1","T0_T3","c_V2","VP","1",47424.5407687532,NA,1,"LM_SR"
"NJ2020","7","1","T0_T3","c_V2","VP","2",22411.1299850287,NA,1,"LM_SR"
"NJ2020","7","1","T0_T3","c_V2","VP","3",-28878.1331849115,NA,1,"LM_SR"
"NJ2020","1","1","T0_T6","c_V2","VP","1",-105227.354106666,43707.9558015434,0.852856912820754,"LM_SR"
"NJ2020","1","1","T0_T6","c_V2","VP","2",-94962.0204820442,70764.6463328861,0.642960068900751,"LM_SR"
"NJ2020","1","1","T0_T6","c_V2","VP","3",-115071.205348381,55986.8754462931,0.808588973718625,"LM_SR"
"NJ2020","2","1","T0_T6","c_V2","VP","1",-263117.303088033,57605.3588971641,0.954260249760966,"LM_SR"
"NJ2020","2","1","T0_T6","c_V2","VP","2",-336663.823541859,37575.9128066635,0.987695911899872,"LM_SR"
"NJ2020","2","1","T0_T6","c_V2","VP","3",-345790.479434793,107766.433664849,0.911471324205516,"LM_SR"
"NJ2020","3","1","T0_T6","c_V2","VP","1",-2744.46451264572,35895.7664166086,0.00581162334242818,"LM_SR"
"NJ2020","3","1","T0_T6","c_V2","VP","2",-28739.3547155623,8960.44217774118,0.911403688808958,"LM_SR"
"NJ2020","3","1","T0_T6","c_V2","VP","3",-603078.794727063,332241.460130814,0.767164977962851,"LM_SR"
"NJ2020","4","1","T0_T6","c_V2","VP","1",512991.573777053,333886.969427843,0.702433665603607,"LM_SR"
"NJ2020","4","1","T0_T6","c_V2","VP","2",566126.515582614,355585.734859855,0.71709605646298,"LM_SR"
