"Location","Expt_No","Depth","Time_Range","Population","Sample_Type","Replicate","VP","VP_SE","VP_R_Squared","VP_Type","VP_Slope"
"NJ2020","3","1","T0_T12","c_V1","VP","1",NA,155524.345705645,0.14246706528123,"LM_SR",-109797.09381461
"NJ2020","3","1","T0_T24","c_V1","VP","1",NA,187346.012053439,0.636493269057169,"LM_SR",495809.824117144
"NJ2020","3","1","T0_T3","c_V1","VP","2",NA,NA,1,"LM_SR",548043.850526201
"NJ2020","3","1","T0_T6","c_V1","VP","2",NA,204032.14451093,0.476479644229765,"LM_SR",194649.809856032
"NJ2020","3","1","T0_T9","c_V1","VP","2",NA,245399.71986147,0.249162107554377,"LM_SR",-199920.333373313
"NJ2020","3","1","T0_T12","c_V1","VP","2",NA,189198.615643486,0.618325897025852,"LM_SR",-417100.732986506
"NJ2020","3","1","T0_T24","c_V1","VP","2",NA,218688.320729108,0.298474631082155,"LM_SR",285290.695005485
"NJ2020","3","1","T0_T3","c_V1","VP","3",NA,NA,1,"LM_SR",986558.4699319
"NJ2020","3","1","T0_T6","c_V1","VP","3",NA,767379.57055889,0.16618063911206,"LM_SR",-342581.934966484
"NJ2020","3","1","T0_T9","c_V1","VP","3",NA,351123.441507512,0.156603506944997,"LM_SR",-213973.341390667
"NJ2020","3","1","T0_T12","c_V1","VP","3",NA,202722.74416453,0.268276885336134,"LM_SR",-212608.852946896
"NJ2020","3","1","T0_T24","c_V1","VP","3",NA,176249.140681913,0.446850134248383,"LM_SR",316822.885183486
"NJ2020","4","1","T0_T3","c_V1","VP","1",NA,NA,1,"LM_SR",195612.153494202
"NJ2020","4","1","T0_T6","c_V1","VP","1",NA,1375427.26944991,0.778412405996678,"LM_SR",2577922.06629717
"NJ2020","4","1","T0_T9","c_V1","VP","1",NA,738144.640536824,0.762641457491712,"LM_SR",1871174.28460142
"NJ2020","4","1","T0_T12","c_V1","VP","1",NA,474962.333482249,0.770647186407073,"LM_SR",1507979.92296089
"NJ2020","4","1","T0_T24","c_V1","VP","1",NA,309886.793353655,0.564065311899579,"LM_SR",704996.638371728
"NJ2020","4","1","T0_T3","c_V1","VP","2",NA,NA,1,"LM_SR",732173.5782794
"NJ2020","4","1","T0_T6","c_V1","VP","2",NA,1088632.0377304,0.852554508010524,"LM_SR",2617739.57837568
"NJ2020","4","1","T0_T9","c_V1","VP","2",NA,668953.186994973,0.78785294772597,"LM_SR",1823118.11438898
"NJ2020","4","1","T0_T12","c_V1","VP","2",NA,476223.709318212,0.725376121843666,"LM_SR",1340553.40623093
"NJ2020","4","1","T0_T24","c_V1","VP","2",NA,247240.500196609,0.755004177223288,"LM_SR",868050.410169701
"NJ2020","4","1","T0_T3","c_V1","VP","3",NA,NA,1,"LM_SR",525994.324412067
"NJ2020","4","1","T0_T6","c_V1","VP","3",NA,1185740.15313345,0.825585139454441,"LM_SR",2579756.5142137
"NJ2020","4","1","T0_T9","c_V1","VP","3",NA,536230.191402891,0.912030370118351,"LM_SR",2441768.73191329
"NJ2020","4","1","T0_T12","c_V1","VP","3",NA,526553.238042337,0.777335585348205,"LM_SR",1704047.83665098
"NJ2020","4","1","T0_T24","c_V1","VP","3",NA,372562.715472539,0.456841975250734,"LM_SR",683359.57845737
"NJ2020","5","1","T0_T3","c_V1","VP","1",NA,NA,1,"LM_SR",257609.772536301
"NJ2020","5","1","T0_T6","c_V1","VP","1",NA,550280.667710137,0.828792060752333,"LM_SR",1210723.84743318
"NJ2020","5","1","T0_T9","c_V1","VP","1",NA,614924.607849885,0.0678674310143911,"LM_SR",234654.417492516
"NJ2020","5","1","T0_T12","c_V1","VP","1",NA,358634.09088071,0.0528785798613589,"LM_SR",146774.04376684
